ma_code,ma_name,ma_level,ma_parent,ma_postal_code
1376021036,Ikua Koto Dibalai,4,137602,26212
1376021037,Balai Tongah Koto,4,137602,26214
1376021038,Kapalo Koto Dibalai,4,137602,26211
1376021039,Kotokociak Kubu Tapakrajo,4,137602,26213
137603,Payakumbuh Timur,3,1376,
1376031001,Balai Jaring,4,137603,26235
1376031002,Padang Alai Bodi,4,137603,26236
1376031003,Padang Tangah Payobadar,4,137603,26231
1376031005,Sicincin,4,137603,26233
1376031007,Padang Tiakar,4,137603,26232
1376031009,Payobasung,4,137603,26237
1376031010,Koto Panjang,4,137603,26237
1376031011,Koto Baru,4,137603,26237
1376031015,Tiakar,4,137603,26231
137604,Lamposi Tigo Nagori,3,1376,
1376041001,Sungai Durian,4,137604,26219
1376041002,Parit Muko Aie,4,137604,26219
1376041003,Parambahan,4,137604,26219
1376041004,Padang Sikabu,4,137604,26219
1376041005,Koto Panjang Padang,4,137604,26219
1376041006,Koto Panjang Dalam,4,137604,26219
137605,Payakumbuh Selatan,3,1376,
1376051001,Padang Karambia,4,137605,26227
1376051002,Kototuo Limokampuang,4,137605,26226
1376051003,Limbukan,4,137605,26227
1376051005,Balai Panjang,4,137605,26226
1376051006,Kapalo Koto Ampangan,4,137605,26228
1376051010,Sawahpadang Aua Kuniang,4,137605,26228
1377,Kota Pariaman,2,13,
137701,Pariaman Tengah,3,1377,
1377011001,Karan Aur,4,137701,25514
1377011002,Kampung Perak,4,137701,25513
1377011003,Lohong,4,137701,25513
1377011004,Pasir,4,137701,25513
